name,status,about_tech,about,email,url,employees,revenue,city,bootstrapped,open_source,org_type,start_date,request,hiring,other
1ManStartup,,,"Start Building Something Welcome to the starting line. While nothing truly great is ever done alone, every great thing starts with one person.",,https://1manstartup.com/,,,,,,bootstrapped,,,FALSE,
Aha!,,,The world's #1 product roadmap and marketing planning,,https://www.aha.io/,,,Menlo Park,,,public,,,TRUE,
Airbnb,,,Airbnb opens the door to interesting homes and experiences.,,www.airbnb.com,5465,4800000,San Francisco,,,public,,,FALSE,
AngelList,,,,,https://angel.co/,,,,,,private,2010-01-01,,FALSE,
Apps For Good,,,,,https://www.appsforgood.org/,,,,,,noneprofit,,,FALSE,
Ask.fm,,"Ruby, Ruby on Rails, Redis, Amazon S3, JavaScript, MySQL",,,ask.fm,75,,"Riga, Riga, Latvia",,,,2010-07-01,,TRUE,
Avo,,"Ruby on Rails, Postgres, Redis, TypeScript, NextJS, Laravel",,adrian@avohq.io,avohq.io,,,,,,bootstrapped,2020-02-10,,FALSE,
Azertpes,,,,ixrfwtea@vdnh.online,http://z.globus-kino.ru/,,,Днепр,,,,,,TRUE,
B2match,,,"Our vision is to make the most of every interaction, to help create meaningful business connections, so that good ideas can become reality and be brought to market.",,https://www.b2match.com/,,,,,,Type of Business,,,FALSE,
Basecamp,,,"Where it all comes together.
Basecamp’s the project management platform that helps small teams move faster and make more progress than they ever thought possible.",,basecamp.com,84,,,,,private,,,TRUE,
Bates College,,,,,bates.edu,,,Lewiston,,,,,,FALSE,
Batteries Plus LLC,,,,,batteriesplus.com,,,Bethel,,,,,,FALSE,
Bayer,,,,,bayer.com,,,,,,,,,FALSE,
Beehiiv,,"Ruby on Rails, Ruby, Redis, PostgreSQL, git, Heroku, Senty, Github, ",A newsletter platform built by newsletter people. Empowering creators to monetize and grow like never before.,,https://www.beehiiv.com/,,,,,,Type of Business,2021-01-01,,TRUE,
Bento,,,"Create Your Dream Customer Journey. Smart eCommerce and software marketers choose Bento to manage every email, conversation, and customer touchpoint, in one place, without needing to stitch multiple tools together.",,https://bentonow.com/,,,,,,,,,,
bestdeals.today,,,,,bestdeals.today,,,,,,,,,,
bestreviews.guide,,,,,bestreviews.guide,,,,,,,,,,
bible.com,,,,,bible.com,,,,,,,,,,
bizjournals.com,,,,,bizjournals.com,,,,,,,,,,
bjs.com,,,,,bjs.com,,,,,,,,,,
blackboard.com,,,,,blackboard.com,,,,,,,,,,
bloomberg,,,The first word in business news. ,,www.bloomberg.com,10000,,"New York, New York",,,,1981-01-01,,TRUE,
Bombardier Recreational Products Inc,,,,,brp.com,,,Valcourt,,,,,,FALSE,
bonappetit.com,,,,,bonappetit.com,,,,,,,,,,
Boston University,,,,,bu.edu,,,Boston,,,,,,FALSE,
briefcake,,"Ruby on Rails, Postgres, Hotwire, Good Job",Daily email from your favorite websites,,https://briefcake.com,1,,,,,,,,FALSE,
britannica.com,,,,,britannica.com,,,,,,,,,,
BrooklynVegan,,,,,brooklynvegan.com,,,Greenwich,,,,,,FALSE,
Brown University,,,,,brown.edu,,,Providence,,,,,,FALSE,
bu.edu,,,,,bu.edu,,,,,,,,,,
bulbagarden.net,,,,,bulbagarden.net,,,,,,,,,,
Burke and Herbert Bank and Trust,,,,,burkeandherbertbank.com,,,Alexandria,,,,,,FALSE,
buyerlink.com,,,,,buyerlink.com,,,,,,,,,,
Buzzsprout,,,"Podcast Hosting Made Easy: Easy and powerful tools, with free learning materials, and remarkable customer support.",,https://www.buzzsprout.com/,,,,,,Type of Business,,,FALSE,
C Spire Wireless,,,,,cspire.com,,,Ridgeland,,,,,,FALSE,
California State University  Chico,,,,,csuchico.edu,,,Chico,,,,,,FALSE,
canon.com,,,,,canon.com,,,,,,,,,,
Caribbean Airlines Limited,,,,,caribbean-airlines.com,,,Piarco,,,,,,FALSE,
CASA Volunteer Tracking,,,,,https://casa-qa.herokuapp.com/,,,,,,,,,,
cbs.com,,,,,cbs.com,,,,,,,,,,
Center Stage Software,,,,,centerstageticketing.com,,,Seaside,,,,,,FALSE,
Central Michigan University,,,,,cmich.edu,,,Mount Pleasant,,,,,,FALSE,
Chalmers University of Technology,,,,,chalmers.se,,,,,,,,,FALSE,
Chan Zuckerberg Initiative,,,,,chanzuckerberg.com,,,,,,,,,,
CHASKIQ,,,"Chaskiq is an open source platform that connects and empowers the communication of support, sales & marketing teams with their customers.",,https://chaskiq.io/,,,,,,Type of Business,,,FALSE,
Chatwoot,,,"Delightful customer relationships, at scale Chatwoot gives you all the tools to manage conversations, build relationships and delight your customers from one place.",,https://www.chatwoot.com/,,,,,,Type of Business,,,FALSE,
cheapoair.com,,,,,cheapoair.com,,,,,,,,,,
chewy.com,,,,,chewy.com,,,,,,,,,,
chicagotribune.com,,,,,chicagotribune.com,,,,,,,,,,
Chime,,,"Chime is a fintech company that helps its members avoid bank fees, save money automatically, and lead healthier financial lives.",,https://www.chime.com/,,,San Francisco,,,private,,,TRUE,
cigna.com,,,,,cigna.com,,,,,,,,,,
Cisco Systems,,,,,cisco.com,,,San Jose,,,,,,FALSE,
cisco.com,,,,,cisco.com,,,,,,,,,,
citationmachine.net,,,,,citationmachine.net,,,,,,,,,,
clickfunnels.com,,,,,clickfunnels.com,,,,,,,,,,
clicktripz.com,,,,,clicktripz.com,,,,,,,,,,
Code.org,,https://github.com/code-dot-org/code-dot-org,"AI 101 for Teachers
Discover the groundbreaking world of artificial intelligence (AI) and its transformative potential in education with our foundational online learning series for teachers.",,code.org,,,,,,,,,FALSE,
Codeacademy,,,,,Codeacademy.com,,,New York City,,,private,2012-01-01,,TRUE,
Coinbase,,,"We are building the cryptoeconomy – a more fair, accessible, efficient, and transparent financial system enabled by crypto.",,www.coinbase.com,1249,1300,,,,Public,,,FALSE,
Colgate University,,,,,colgate.edu,,,Hamilton,,,,,,FALSE,
Consumers Credit Union,,,,,consumerscu.org,,,Oshtemo,,,,,,FALSE,
Contact K. HovnanianÃÂ® Homes,,,,,khov.com,,,Boynton Beach,,,,,,FALSE,
Cookpad,,,,,https://cookpad.com/us,,,,,,public,,,TRUE,
Costco.com,,,"Costco is a membership-based warehouse retail chain known for offering a wide range of products at competitive prices, catering to both individual and business customers.",,costco.com,,,,,,,,,,
couchsurfing,,,Couchsurfing is a global community of #travelers and #hosts. Tag your experiences with #shareyourlife so we can share your stories.,,couchsurfing.com,83,,,,,Private,,,FALSE,
courant.com,,,,,courant.com,,,,,,,,,,
coursehero.com,,,,,coursehero.com,,,,,,,,,,
Credit Agricole,,,,,credit-agricole.fr,,,Amiens,,,,,,FALSE,
Crunchbase,,"Ruby on Rails, Ruby, AngularJs, Scala, JavaScript, Ember.js",Find and close deals with all-in-one prospecting solutions powered by the leader in private-company data.,,https://www.crunchbase.com/,150,,San Francisco,,,,2017-06-01,,TRUE,
cvs.com,,,,,cvs.com,,,,,,,,,,
cybersource.com,,,,,cybersource.com,,,,,,,,,,
Dailytics,,,"Simple Analytics digest for publishers Get a daily email with an overview of your site's analytics. Works with Google Analytics, Fathom, Plausible, Pirsch, and Simple Analytics!",,https://dailytics.com/,,,,,,Type of Business,,,FALSE,
DB Bahn,,,,,bahn.de,,,Frankfurt am Main,,,,,,FALSE,
Diaspora,,,"Welcome to diaspora*
The online social world where you are in control",,https://diasporafoundation.org/,,,,,,,,,FALSE,
DigitalOcean,,,"Simple cloud hosting, built for developers.",,https://www.digitalocean.com/,,,,,,Type of Business,,,FALSE,
Discourse,,https://github.com/discourse/discourse,https://github.com/discourse/discourse,,discourse.org/,,,,,,,,,FALSE,
Dribbble,,"Ruby on Rails, Ruby, Amazon CludFront, Stripe, PostgreSQL, Redis, ElasticSearch",,,https://dribbble.com/,75,,"Walnut Creek, California",,,Type of Business,2009-06-01,,TRUE,
EasyCredito,,,"We are a credit marketplace , we connect people who want loans to companies that...",,https://easycredito.com.br/,,,Brazil,,,private,,,TRUE,
eatfair,,Rails monolith baked with the latest Hotwire stuff.,,info@typo00.com,www.eatfair.de,,,,,,Private,,,FALSE,
Etsy,,,"Etsy is the global marketplace for unique and creative goods. It’s home to a universe of special, extraordinary items, from unique handcrafted pieces to vintage treasures.",,www.etsy.com,1276,1700,brooklyn,,,Public,,,FALSE,
Factorial,,,Factorial is a human resources software platform for small and medium companies that integrates vacation management and more,,https://factorialhr.com/,,,Spain,,,private,,,TRUE,
Feature Cat,,,"FeatureCat is a feedback and feature management tool that helps you collect feedback, organize features, and build the product your customers want.",,https://featurecat.com/,,,,,,Type of Business,,,FALSE,
Fireside,,,Powerful podcast hosting & analytics,,https://fireside.fm/,,,Austin,,,private,2016-01-01,,TRUE,
Fiverr,,"Ruby, Ruby on Rails, JavaScript, jQuery, Redis, MySQL, React",Fiverr is a global platform connecting businesses with freelance talent in the simplest way possible. ,,www.fivver.com,421,189500000,Telaviv,,,Public,2012-01-01,,TRUE,
